"","words","Freq"
"1320","Stephane",1
"1321","Stephen",2
"1322","Steven",3
"1323","sticos",1
"1324","still",1
"1325","stolen",2
"1326","stopper",1
"1327","story",2
"1328","Straight",2
"1329","Strikes",5
"1330","STUD",1
"1331","su",4
"1332","subs",1
"1333","such",1
"1334","Suites",1
"1335","sultats",1
"1336","Sunday",1
"1337","super",1
"1338","Super",1
"1339","SuperBowl",1
"1340","SuperStar",2
"1341","sur",1
"1342","sure",2
"1343","sus",1
"1344","Syndi",1
"1345","t",8
"1346","tahminimiz",1
"1347","tails",1
"1348","take",1
"1349","taking",2
"1350","talked",10
"1351","talks",2
"1352","Targets",1
"1353","team",2
"1354","Team",1
"1355","teammate",1
"1356","teammates",1
"1357","Telegram",1
"1358","tells",2
"1359","temporada",1
"1360","tendon",1
"1361","tenemos",1
"1362","tennis",1
"1363","teremos",1
"1364","termin",1
"1365","text",1
"1366","th",1
"1367","tha",1
"1368","that",3
"1369","That",2
"1370","the",79
"1371","The",22
"1372","THE",10
"1373","their",4
"1374","Then",1
"1375","there",2
"1376","these",2
"1377","they",2
"1378","They",2
"1379","thing",1
"1380","things",1
"1381","think",2
"1382","this",9
"1383","Thomas",2
"1384","Thread",1
"1385","throwing",1
"1386","Thunder",2
"1387","ticket",6
"1388","time",2
"1389","tip",1
"1390","Tip",7
"1391","tirs",1
"1392","Tix",1
"1393","to",39
"1394","To",7
"1395","today",6
"1396","Today",7
"1397","Todays",1
"1398","told",2
"1399","tomorrow",2
"1400","tonight",10
"1401","Tonight",1
"1402","Tonights",1
"1403","tons",1
"1404","tonter",1
"1405","Tony",1
"1406","Too",2
"1407","Top",4
"1408","TOP",1
"1409","Tops",1
"1410","TOR",1
"1411","torn",1
"1412","Toronto",5
"1413","total",4
"1414","Totales",1
"1415","TOUGH",1
"1416","toughness",1
"1417","Tous",1
"1418","trade",2
"1419","TRADED",2
"1420","Trail",1
"1421","training",1
"1422","transmiss",1
"1423","trends",2
"1424","trip",2
"1425","try",1
"1426","trying",2
"1427","TV",2
"1428","Twitter",1
"1429","two",4
"1430","Tyson",1
"1431","u",3
"1432","U",4
"1433","un",7
"1434","Unbelievable",1
"1435","under",4
"1436","UNDER",3
"1437","Une",1
"1438","unicycle",2
"1439","Union",1
"1440","Unique",1
"1441","unit",3
"1442","until",1
"1443","up",5
"1444","Update",1
